date,value
03-30-2024,70134.3825664161
03-30-2024,70041.06744242588
03-30-2024,70207.92254323962
03-30-2024,70059.88258540482
03-30-2024,69887.96590049165
03-30-2024,69888.20736567445
03-30-2024,69846.36521695401
03-30-2024,69762.82560475214
03-30-2024,69744.13074270339
03-31-2024,69622.30923369367
03-31-2024,69872.59826390781
03-31-2024,70055.51523593791
03-31-2024,69996.88476668348
03-31-2024,69917.22342623175
03-31-2024,70129.97891203023
03-31-2024,70352.19587638557
03-31-2024,70219.2236140398
03-31-2024,70325.97653406506
03-31-2024,70244.13468115508
03-31-2024,70258.989943178
03-31-2024,70342.80281528807
03-31-2024,70418.0518099381
03-31-2024,70564.9435693011
03-31-2024,70602.6300346646
03-31-2024,70471.71664438462
03-31-2024,70391.97904093297
03-31-2024,70459.72812439363
03-31-2024,70505.175341413
03-31-2024,70755.51331159186
03-31-2024,71095.96494214122
03-31-2024,70833.205560557
03-31-2024,70787.5565487249
03-31-2024,70932.19761892733
04-01-2024,71229.87655843626
04-01-2024,71087.25098030263
04-01-2024,70854.60005957093
04-01-2024,70877.82737240873
04-01-2024,70619.47504803985
04-01-2024,70450.85253074118
04-01-2024,69236.61393631532
04-01-2024,69686.6032574771
04-01-2024,69522.45722667436
04-01-2024,69433.17938185587
04-01-2024,69439.14582052667
04-01-2024,69614.25770884354
04-01-2024,69505.77873187968
04-01-2024,69771.22027973064
04-01-2024,69716.7387720348
04-01-2024,68613.05627372122
04-01-2024,68368.60320757983
04-01-2024,68647.15823839215
04-01-2024,68548.97411085614
04-01-2024,68984.68530295773
04-01-2024,69617.79569684096
04-01-2024,69773.77492380183
04-01-2024,69701.60145938995
04-01-2024,69770.20184774762
04-02-2024,69609.57814998928
04-02-2024,69394.5437783541
04-02-2024,69320.06902054936
04-02-2024,67176.10136218855
04-02-2024,66933.85310279732
04-02-2024,66671.39910443817
04-02-2024,66862.4215085759
04-02-2024,66936.30151190482
04-02-2024,66546.36940230262
04-02-2024,65855.38101245622
04-02-2024,66128.45638286824
04-02-2024,65868.6789275122
04-02-2024,65509.00792365257
04-02-2024,65319.4841988721
04-02-2024,65069.14840403641
04-02-2024,65682.12440219843
04-02-2024,65075.587301571795
04-02-2024,65575.63144062112
04-02-2024,65528.738122162395
04-02-2024,65867.48770254257
04-02-2024,66122.2927223462
04-02-2024,65673.8967241405
04-02-2024,65710.53567781566
04-02-2024,65773.80242597149
04-03-2024,65534.30491580929
04-03-2024,65361.58666035539
04-03-2024,65862.7951120461
04-03-2024,65816.56429769016
04-03-2024,66220.29156494063
04-03-2024,66311.19445004368
04-03-2024,66168.26565312546
04-03-2024,66287.9020179715
04-03-2024,66120.84938255069
04-03-2024,66537.5720223001
04-03-2024,66459.67293437496
04-03-2024,66112.43335472258
04-03-2024,66092.90219264042
04-03-2024,65964.2296585029
04-03-2024,65831.28602966432
04-03-2024,66604.75744540128
04-03-2024,65866.7598419646
04-03-2024,66183.96012117567
04-03-2024,65840.13660777804
04-03-2024,66044.01653029339
04-03-2024,65828.98237712019
04-03-2024,65714.2207783053
04-03-2024,65988.3056752151
04-03-2024,66212.36390036279
04-04-2024,66103.92369277785
04-04-2024,66282.96477205383
04-04-2024,66153.3532735734
04-04-2024,65814.7986952181
04-04-2024,65698.28348738086
04-04-2024,65536.53608747096
04-04-2024,65619.9905509694
04-04-2024,65800.60278272994
04-04-2024,66055.60832695603
04-04-2024,66353.25203442888
04-04-2024,66282.405411214
04-04-2024,66307.38062066988
